PESO/LONGITUD-TALLA NIÑOS Z DE 0 A 5 AÑOS,,,,,,,,,PESO/LONGITUD-TALLA NIÑAS Z DE 0 A 2 AÑOS,,,,,,,
Cm,3SDneg,2SDneg,-1 SD,Median,1 SD,2 SD,3 SD,,Cm,SD3neg,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
45.000,1.900,2.000,2.200,2.400,2.700,3.000,3.300,,45.000,1.900,2.100,2.300,2.500,2.700,3.000,3.300
45.500,1.950,2.100,2.300,2.500,2.800,3.100,3.400,,45.500,1.950,2.100,2.300,2.500,2.800,3.100,3.400
46.000,2.000,2.200,2.400,2.600,2.900,3.100,3.500,,46.000,2.000,2.200,2.400,2.600,2.900,3.200,3.500
46.500,2.050,2.300,2.500,2.700,3.000,3.200,3.600,,46.500,2.100,2.300,2.500,2.700,3.000,3.300,3.600
47.000,2.100,2.300,2.500,2.800,3.000,3.300,3.700,,47.000,2.200,2.400,2.600,2.800,3.100,3.400,3.700
47.500,2.200,2.400,2.600,2.900,3.100,3.400,3.800,,47.500,2.250,2.400,2.600,2.900,3.200,3.500,3.800
48.000,2.300,2.500,2.700,2.900,3.200,3.600,3.900,,48.000,2.300,2.500,2.700,3.000,3.300,3.600,4.000
48.500,2.350,2.600,2.800,3.000,3.300,3.700,4.000,,48.500,2.350,2.600,2.800,3.100,3.400,3.700,4.100
49.000,2.400,2.600,2.900,3.100,3.400,3.800,4.200,,49.000,2.400,2.600,2.900,3.200,3.500,3.800,4.200
49.500,2.500,2.700,3.000,3.200,3.500,3.900,4.300,,49.500,2.500,2.700,3.000,3.300,3.600,3.900,4.300
50.000,2.600,2.800,3.000,3.300,3.600,4.000,4.400,,50.000,2.600,2.800,3.100,3.400,3.700,4.000,4.500
50.500,2.650,2.900,3.100,3.400,3.800,4.100,4.500,,50.500,2.700,2.900,3.200,3.500,3.800,4.200,4.600
51.000,2.700,3.000,3.200,3.500,3.900,4.200,4.700,,51.000,2.800,3.000,3.300,3.600,3.900,4.300,4.800
51.500,2.800,3.100,3.300,3.600,4.000,4.400,4.800,,51.500,2.850,3.100,3.400,3.700,4.000,4.400,4.900
52.000,2.900,3.200,3.500,3.800,4.100,4.500,5.000,,52.000,2.900,3.200,3.500,3.800,4.200,4.600,5.100
52.500,3.000,3.300,3.600,3.900,4.200,4.600,5.100,,52.500,3.000,3.300,3.600,3.900,4.300,4.700,5.200
53.000,3.100,3.400,3.700,4.000,4.400,4.800,5.300,,53.000,3.100,3.400,3.700,4.000,4.400,4.900,5.400
53.500,3.200,3.500,3.800,4.100,4.500,4.900,5.400,,53.500,3.200,3.500,3.800,4.200,4.600,5.000,5.500
54.000,3.300,3.600,3.900,4.300,4.700,5.100,5.600,,54.000,3.300,3.600,3.900,4.300,4.700,5.200,5.700
54.500,3.450,3.700,4.000,4.400,4.800,5.300,5.800,,54.500,3.400,3.700,4.000,4.400,4.800,5.300,5.900
55.000,3.600,3.800,4.200,4.500,5.000,5.400,6.000,,55.000,3.500,3.800,4.200,4.500,5.000,5.500,6.100
55.500,3.700,4.000,4.300,4.700,5.100,5.600,6.100,,55.500,3.600,3.900,4.300,4.700,5.100,5.700,6.300
56.000,3.800,4.100,4.400,4.800,5.300,5.800,6.300,,56.000,3.700,4.000,4.400,4.800,5.300,5.800,6.400
56.500,3.900,4.200,4.600,5.000,5.400,5.900,6.500,,56.500,3.800,4.100,4.500,5.000,5.400,6.000,6.600
57.000,4.000,4.300,4.700,5.100,5.600,6.100,6.700,,57.000,3.900,4.300,4.600,5.100,5.600,6.100,6.800
57.500,4.150,4.500,4.900,5.300,5.700,6.300,6.900,,57.500,4.000,4.400,4.800,5.200,5.700,6.300,7.000
58.000,4.300,4.600,5.000,5.400,5.900,6.400,7.100,,58.000,4.100,4.500,4.900,5.400,5.900,6.500,7.100
58.500,4.400,4.700,5.100,5.600,6.100,6.600,7.200,,58.500,4.200,4.600,5.000,5.500,6.000,6.600,7.300
