TALLA/EDAD NIÑOS Z DE 0 A 19 AÑOS,,,,,,,,TALLA/EDAD NIÑAS Z DE 0 A 19 AÑOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,,MES,SD3neg,-2 SD,-1 SD,Median,1 SD,2 SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000,44.200,46.100,48.000,49.900,51.800,53.700,,0.000,43.600,45.400,47.300,49.100,51.000,52.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000,48.900,50.800,52.800,54.700,56.700,58.600,,1.000,47.800,49.800,51.700,53.700,55.600,57.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000,52.400,54.400,56.400,58.400,60.400,62.400,,2.000,51.000,53.000,55.000,57.100,59.100,61.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000,55.300,57.300,59.400,61.400,63.500,65.500,,3.000,53.500,55.600,57.700,59.800,61.900,64.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.000,57.600,59.700,61.800,63.900,66.000,68.000,,4.000,55.600,57.800,59.900,62.100,64.300,66.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.000,59.600,61.700,63.800,65.900,68.000,70.100,,5.000,57.400,59.600,61.800,64.000,66.200,68.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.000,61.200,63.300,65.500,67.600,69.800,71.900,,6.000,58.900,61.200,63.500,65.700,68.000,70.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.000,62.700,64.800,67.000,69.200,71.300,73.500,,7.000,60.300,62.700,65.000,67.300,69.600,71.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.000,64.000,66.200,68.400,70.600,72.800,75.000,,8.000,61.700,64.000,66.400,68.700,71.100,73.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000,65.200,67.500,69.700,72.000,74.200,76.500,,9.000,62.900,65.300,67.700,70.100,72.600,75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.000,66.400,68.700,71.000,73.300,75.600,77.900,,10.000,64.100,66.500,69.000,71.500,73.900,76.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.000,67.600,69.900,72.200,74.500,76.900,79.200,,11.000,65.200,67.700,70.300,72.800,75.300,77.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.000,68.600,71.000,73.400,75.700,78.100,80.500,,12.000,66.300,68.900,71.400,74.000,76.600,79.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.000,69.600,72.100,74.500,76.900,79.300,81.800,,13.000,67.300,70.000,72.600,75.200,77.800,80.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.000,70.600,73.100,75.600,78.000,80.500,83.000,,14.000,68.300,71.000,73.700,76.400,79.100,81.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.000,71.600,74.100,76.600,79.100,81.700,84.200,,15.000,69.300,72.000,74.800,77.500,80.200,83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.000,72.500,75.000,77.600,80.200,82.800,85.400,,16.000,70.200,73.000,75.800,78.600,81.400,84.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.000,73.300,76.000,78.600,81.200,83.900,86.500,,17.000,71.100,74.000,76.800,79.700,82.500,85.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.000,74.200,76.900,79.600,82.300,85.000,87.700,,18.000,72.000,74.900,77.800,80.700,83.600,86.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.000,75.000,77.700,80.500,83.200,86.000,88.800,,19.000,72.800,75.800,78.800,81.700,84.700,87.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.000,75.800,78.600,81.400,84.200,87.000,89.800,,20.000,73.700,76.700,79.700,82.700,85.700,88.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.000,76.500,79.400,82.300,85.100,88.000,90.900,,21.000,74.500,77.500,80.600,83.700,86.700,89.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.000,77.200,80.200,83.100,86.000,89.000,91.900,,22.000,75.200,78.400,81.500,84.600,87.700,90.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.000,78.000,81.000,83.900,86.900,89.900,92.900,,23.000,76.000,79.200,82.300,85.500,88.700,91.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.000,78.000,81.700,84.800,87.800,90.900,93.900,,24.000,76.000,80.000,83.200,86.400,89.600,92.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.000,78.600,81.700,84.900,88.000,91.100,94.200,,25.000,76.800,80.000,83.300,86.600,89.900,93.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.000,79.300,82.500,85.600,88.800,92.000,95.200,,26.000,77.500,80.800,84.100,87.400,90.800,94.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.000,79.900,83.100,86.400,89.600,92.900,96.100,,27.000,78.100,81.500,84.900,88.300,91.700,95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
